select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
FALSE,B0DJVW3XQ8,B08LQXR6WK,recess lights 6 inch led dimmable,1,kw,33,1,1855.72,0,15.12,-0.98,32,23.1,6.6,247.84,0,-2.96,29,1,1855.72,223.82,0,-1.97,1,27,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,6 inch led lights recessed,1,kw,36,1,1626.87,0,11.46,-1.87,32,16.98,11.26,247.84,0,-2.96,31,1,1626.87,239.83,0,-1.97,1,21,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,ceiling lights,2,kw,31,1,31931.7,0,282.01,-0.78,91,24.9,268.89,731.91,0,-2.51,28,1,31931.7,215.81,1.25,-1.53,1,41,0,0,0,-2.77,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,led ceiling light,2,kw,30,1,21878.91,0,179.67,-1.73,96,6.52,1699.35,784.58,0,-2.72,26,1,21878.91,199.81,0.86,-2.64,1,23,0,0,0,-3.72,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,ceiling led lights,2,kw,32,1,11955.67,0,110.51,-0.71,86,13,318.59,687.17,0,-2.4,28,1,11955.67,215.81,0.49,-1.59,1,30,0,0,0,-2.7,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,led ceiling lights,2,kw,48,1,4759.39,0,28.26,-1.83,80,29.55,28.49,636.3,0,-3.79,40,1,4759.39,311.95,0.11,-2.76,1,45,0,0,0,-3.82,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,recessed ceiling lights,2,kw,28,1,2042.05,0,19.14,-0.78,6,23.45,4.87,39.93,0,-2.77,22,1,2042.05,167.81,0.18,-1.71,1,26,0,0,0,-2.77,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,led lights for ceiling,2,kw,43,1,1011.42,0,6.63,-1.71,86,23.07,10.36,687.17,0,-3.65,38,1,1011.42,295.91,0,-2.7,1,41,0,0,0,-3.66,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,ceiling led light,2,kw,61,1,816.08,0,4.29,-0.89,80,34.65,3.6,636.3,0,-2.65,49,1,816.08,384.2,0,-1.86,1,50,0,0,0,-2.65,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,wafer lights 6 inch,3,sr_rc,13,1,8574.84,0,106.29,-0.9,75,9.27,270.62,594.9,0,-2.63,12,1,8574.84,87.87,1.06,-1.85,1,16,0,0,0,-2.89,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,wafer lights,3,sr_rc,17,1,6581.1,0,71.33,-0.8,32,17.36,40.22,247.84,0,-2.75,15,1,6581.1,111.84,0.56,-1.73,1,21,0,0,0,-2.79,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,led recessed light,4,sr_rc,38,1,522.09,0,4.07,-2.19,38,23.2,2.18,295.91,0,-2.85,33,1,522.09,255.85,0,-2.35,1,28,0,0,0,-2.85,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,led recessed lights,4,sr_rc,30,1,3443.87,0,31.04,-1.68,38,18.35,22.76,295.91,0,-2.92,27,1,3443.87,207.81,0.17,-1.9,1,23,0,0,0,-2.94,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,recess lights,4,sr_rc,34,1,4313.8,0,33.26,-2.8,30,30.08,8.8,231.82,0,-3.95,30,1,4313.8,231.82,0.15,-2.93,1,34,0,0,0,-3.96,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,6 recessed lighting led,4,sr_rc,41,1,9242.03,0,55.09,-1.86,32,17.75,60.98,247.84,0,-2.9,35,1,9242.03,271.87,0.24,-1.94,1,22,0,0,0,-2.96,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
